Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",14,ddPCR Supermix for Probes (no dUTP),280,,,15.9,12.2,222,18484,3,219,256,18228,0,18706,,,,,,,,0.86,,,1.01,0.7,46.1,,,50.6,41.7,1,1,2381,5960.2,1056.6,1114.8,"",,,,15,13.1,,,,,,,0.93,0.78,,,48.4,43.9,
"D01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",17.5,ddPCR Supermix for Probes (no dUTP),350,,,19.5,15.5,292,19478,3,289,261,19217,0,19770,,,,,,,,1.11,,,1.29,0.92,52.5,,,56.7,48.4,1,1,2381,6084.9,1041.9,1116.4,"",,,,18.5,16.5,,,,,,,1.2,1.01,,,54.7,50.4,
"E01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",16.2,ddPCR Supermix for Probes (no dUTP),324,,,18.1,14.3,282,20362,6,276,284,20078,0.119,20644,,,,,,,,0.97,,,1.13,0.81,49.3,,,53.4,45.2,1,1,2381,6070.6,1034.9,1103.7,"",,,,17.1,15.2,,,,,,,1.05,0.89,,,51.4,47.2,
"F01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",17,ddPCR Supermix for Probes (no dUTP),340,,,18.9,15,288,19834,4,284,284,19550,0,20122,,,,,,,,1,,,1.16,0.84,50,,,54.1,45.9,1,1,2381,6056.8,1054.7,1126.3,"",,,,18,16,,,,,,,1.08,0.92,,,52.1,47.9,
"G01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",14.6,ddPCR Supermix for Probes (no dUTP),292,,,16.4,12.8,255,20367,5,250,266,20101,0.0965,20622,,,,,,,,0.94,,,1.1,0.78,48.5,,,52.7,44.2,1,1,2381,6160.6,1038,1101.3,"",,,,15.6,13.7,,,,,,,1.02,0.86,,,50.6,46.3,
"H01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",14,ddPCR Supermix for Probes (no dUTP),280,,,15.8,12.2,242,20203,1,241,235,19968,0,20445,,,,,,,,1.03,,,1.21,0.84,50.6,,,55.1,46.1,1,1,2381,6097,1058.8,1118.5,"",,,,14.9,13.1,,,,,,,1.12,0.93,,,52.9,48.3,
"A02",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",14.8,ddPCR Supermix for Probes (no dUTP),296,,,16.6,13,260,20535,4,256,277,20258,0.0283,20795,,,,,,,,0.92,,,1.08,0.77,48,,,52.3,43.8,1,1,2659,6110.1,1005.2,1069,"",,,,15.7,13.9,,,,,,,1,0.85,,,50.2,45.9,
"A03",Absolute Quantification,"ABS","20744",Ch1Unknown,"HbS","Manual",12.9,ddPCR Supermix for Probes (no dUTP),258,,,14.6,11.2,226,20499,3,223,225,20274,0.0298,20725,,,,,,,,0.99,,,1.17,0.81,49.8,,,54.4,45.2,1,1,2394,6288.4,980.05,1037.9,"",,,,13.8,12,,,,,,,1.08,0.9,,,52.1,47.4,
"A04",Absolute Quantification,"ABS","18001",Ch1Unknown,"HbS","Manual",12.5,ddPCR Supermix for Probes (no dUTP),250,,,14.1,10.9,227,21227,1,226,223,21004,0,21454,,,,,,,,1.01,,,1.2,0.83,50.3,,,54.9,45.7,1,1,2470,6086.8,1097.3,1150.1,"",,,,13.3,11.7,,,,,,,1.11,0.92,,,52.7,48,
"A05",Absolute Quantification,"ABS","16472",Ch1Unknown,"HbS","Manual",22.3,ddPCR Supermix for Probes (no dUTP),446,,,24.5,20.1,400,20882,13,387,465,20417,0.231,21282,,,,,,,,0.84,,,0.95,0.72,45.5,,,48.8,42.2,1,1,2570,5500.8,1078.3,1161.4,"",,,,23.4,21.2,,,,,,,0.89,0.78,,,47.2,43.8,
"A06",Absolute Quantification,"ABS","16472",Ch1Unknown,"HbS","Manual",25.5,ddPCR Supermix for Probes (no dUTP),510,,,27.9,23.1,436,19870,8,428,384,19486,0,20306,,,,,,,,1.11,,,1.27,0.96,52.7,,,56.1,49.3,1,1,2691,5327.1,1344.3,1429.8,"",,,,26.8,24.3,,,,,,,1.19,1.04,,,54.4,50.9,
"A07",Absolute Quantification,"ABS","18836",Ch1Unknown,"HbS","Manual",6.9,ddPCR Supermix for Probes (no dUTP),138,,,8.2,5.6,112,19013,0,112,124,18889,0,19125,,,,,,,,0.9,,,1.13,0.67,47,,,54,41,1,1,2735,5806.1,1504.1,1529.3,"",,,,7.6,6.3,,,,,,,1.02,0.79,,,50.7,44.2,
"A08",Absolute Quantification,"ABS","20457",Ch1Unknown,"HbS","Manual",17.2,ddPCR Supermix for Probes (no dUTP),344,,,19.3,15.2,267,18080,2,265,252,17828,0,18347,,,,,,,,1.05,,,1.23,0.87,51.3,,,55.5,47,1,1,2653,5552.9,1458.3,1517.9,"",,,,18.3,16.2,,,,,,,1.14,0.96,,,53.4,49.1,
"A09",Absolute Quantification,"ABS","20457",Ch1Unknown,"HbS","Manual",17.3,ddPCR Supermix for Probes (no dUTP),346,,,19.5,15.2,256,17243,4,252,215,17028,0.055,17499,,,,,,,,1.17,,,1.38,0.96,53.9,,,58.4,49.4,1,1,2867,5367.7,1411,1468.9,"",,,,18.4,16.3,,,,,,,1.28,1.06,,,56.2,51.6,
"A10",Absolute Quantification,"ABS","14743",Ch1Unknown,"HbS","Manual",19.1,ddPCR Supermix for Probes (no dUTP),382,,,21.2,17,321,19587,10,311,239,19348,0.364,19908,,,,,,,,1.29,,,1.51,1.08,56.4,,,60.4,52.3,1,1,2402,5836.9,997.35,1075.4,"",,,,20.2,18.1,,,,,,,1.4,1.18,,,58.4,54.3,
"A11",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS","Manual",152,ddPCR Supermix for Probes (no dUTP),3040,,,158,146,2500,18159,296,2204,2092,16067,0.514,20659,,,,,,,,1.05,,,1.11,0.99,51.2,,,52.6,49.8,1,1,2957,7264.4,1074.7,1823.7,"",,,,154.8,148.7,,,,,,,1.08,1.02,,,51.9,50.5,
"B02",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",17.4,ddPCR Supermix for Probes (no dUTP),348,,,19.4,15.4,285,19110,2,283,283,18827,0,19395,,,,,,,,1,,,1.16,0.84,50,,,54.1,45.9,1,1,2659,6031.8,1029.3,1102.8,"",,,,18.4,16.4,,,,,,,1.08,0.92,,,52.1,47.9,
"B03",Absolute Quantification,"ABS","20744",Ch1Unknown,"HbS","Manual",13.9,ddPCR Supermix for Probes (no dUTP),278,,,15.6,12.2,248,20856,4,244,226,20630,0.074,21104,,,,,,,,1.08,,,1.27,0.89,51.9,,,56.4,47.4,1,1,2394,6143.8,998.46,1058.9,"",,,,14.8,13,,,,,,,1.18,0.98,,,54.2,49.6,
"B04",Absolute Quantification,"ABS","18001",Ch1Unknown,"HbS","Manual",11.2,ddPCR Supermix for Probes (no dUTP),224,,,12.8,9.6,191,19948,4,187,233,19715,0.105,20139,,,,,,,,0.8,,,0.96,0.65,44.6,,,49.3,39.9,1,1,2470,6007.3,1108.1,1154.6,"",,,,12,10.4,,,,,,,0.88,0.73,,,47,42.2,
"B05",Absolute Quantification,"ABS","16472",Ch1Unknown,"HbS","Manual",23.3,ddPCR Supermix for Probes (no dUTP),466,,,25.5,21,401,20086,7,394,383,19703,0,20487,,,,,,,,1.03,,,1.17,0.89,50.7,,,54.2,47.2,1,1,2570,5599.8,1072.4,1161.1,"",,,,24.4,22.1,,,,,,,1.1,0.96,,,52.5,48.9,
"B06",Absolute Quantification,"ABS","16472",Ch1Unknown,"HbS","Manual",18.1,ddPCR Supermix for Probes (no dUTP),362,,,20.1,16.1,315,20336,5,310,340,19996,0,20651,,,,,,,,0.91,,,1.05,0.77,47.7,,,51.5,43.9,1,1,2691,5269,1421,1479.7,"",,,,19.1,17.1,,,,,,,0.98,0.84,,,49.7,45.8,
"B07",Absolute Quantification,"ABS","18836",Ch1Unknown,"HbS","Manual",14.2,ddPCR Supermix for Probes (no dUTP),284,,,16,12.5,252,20725,1,251,264,20461,0,20977,,,,,,,,0.95,,,1.11,0.79,48.7,,,53,44.4,1,1,2735,5593.8,1421,1471.2,"",,,,15.1,13.3,,,,,,,1.03,0.87,,,50.9,46.5,
"B08",Absolute Quantification,"ABS","20457",Ch1Unknown,"HbS","Manual",16.6,ddPCR Supermix for Probes (no dUTP),332,,,18.5,14.7,288,20242,6,282,280,19962,0.117,20530,,,,,,,,1.01,,,1.17,0.84,50.2,,,54.3,46.1,1,1,2691,5355,1449,1503.8,"",,,,17.6,15.6,,,,,,,1.09,0.92,,,52.3,48.1,
"B09",Absolute Quantification,"ABS","20457",Ch1Unknown,"HbS","Manual",17.4,ddPCR Supermix for Probes (no dUTP),348,,,19.4,15.5,305,20413,4,301,271,20142,0,20718,,,,,,,,1.11,,,1.29,0.93,52.6,,,56.7,48.5,1,1,2691,5305.7,1389.9,1447.6,"",,,,18.4,16.4,,,,,,,1.2,1.02,,,54.7,50.5,
"B10",Absolute Quantification,"ABS","14743",Ch1Unknown,"HbS","Manual",19.4,ddPCR Supermix for Probes (no dUTP),388,,,21.4,17.3,341,20546,8,333,249,20297,0.221,20887,,,,,,,,1.33,,,1.54,1.11,57.1,,,61,53.1,1,1,2384,5820,996.41,1075.2,"",,,,20.4,18.3,,,,,,,1.44,1.22,,,59.1,55,
"B11",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.16,0,0,21573,0,0,0,21573,0,21573,,,,,,,,,,,,,,,,,,1,1,2512,0,943.44,943.44,"",,,,0.075,0,,,,,,,,,,,,,
"C02",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",14.8,ddPCR Supermix for Probes (no dUTP),296,,,16.6,12.9,240,18992,4,236,243,18749,0.0576,19232,,,,,,,,0.97,,,1.14,0.8,49.3,,,53.7,44.8,1,1,2659,5846.6,1094.9,1154.2,"",,,,15.7,13.8,,,,,,,1.06,0.88,,,51.5,47,
"C03",Absolute Quantification,"ABS","20744",Ch1Unknown,"HbS","Manual",13.5,ddPCR Supermix for Probes (no dUTP),270,,,15.4,11.7,217,18733,7,210,214,18519,0.284,18950,,,,,,,,0.98,,,1.17,0.8,49.5,,,54.2,44.9,1,1,2394,6170.3,1013.4,1072.5,"",,,,14.5,12.6,,,,,,,1.08,0.89,,,51.9,47.2,
"C04",Absolute Quantification,"ABS","18001",Ch1Unknown,"HbS","Manual",12,ddPCR Supermix for Probes (no dUTP),240,,,13.6,10.4,215,20954,1,214,210,20744,0,21169,,,,,,,,1.02,,,1.21,0.83,50.5,,,55.2,45.7,1,1,2470,5949.2,1103.7,1152.9,"",,,,12.8,11.2,,,,,,,1.12,0.92,,,52.9,48,
"C05",Absolute Quantification,"ABS","16472",Ch1Unknown,"HbS","Manual",22.8,ddPCR Supermix for Probes (no dUTP),456,,,25.1,20.6,391,19952,5,386,406,19546,0,20343,,,,,,,,0.95,,,1.08,0.82,48.7,,,52.2,45.3,1,1,2570,5499.2,1087,1171.8,"",,,,24,21.7,,,,,,,1.02,0.88,,,50.5,47,
"C06",Absolute Quantification,"ABS","18836",Ch1Unknown,"HbS","Manual",14.4,ddPCR Supermix for Probes (no dUTP),288,,,16.3,12.5,215,17478,4,211,213,17265,0.0929,17693,,,,,,,,0.99,,,1.18,0.8,49.8,,,54.5,45.1,1,1,2951,5635.5,1313.7,1366.2,"",,,,15.4,13.4,,,,,,,1.09,0.9,,,52.2,47.4,
"C07",Absolute Quantification,"ABS","18836",Ch1Unknown,"HbS","Manual",11.3,ddPCR Supermix for Probes (no dUTP),226,,,13,9.6,174,18002,2,172,178,17824,0.0183,18176,,,,,,,,0.97,,,1.17,0.77,49,,,54,44,1,1,2735,5559.7,1404.4,1444.2,"",,,,12.2,10.5,,,,,,,1.07,0.86,,,51.8,46.5,
"C08",Absolute Quantification,"ABS","20457",Ch1Unknown,"HbS","Manual",18.1,ddPCR Supermix for Probes (no dUTP),362,,,20.1,16.1,320,20640,8,312,317,20323,0.176,20960,,,,,,,,0.98,,,1.14,0.83,49.6,,,53.5,45.8,1,1,2660,5385.2,1210.7,1274.5,"",,,,19.1,17.1,,,,,,,1.06,0.91,,,51.6,47.6,
"C09",Absolute Quantification,"ABS","14743",Ch1Unknown,"HbS","Manual",18.5,ddPCR Supermix for Probes (no dUTP),370,,,20.5,16.5,329,20750,6,323,282,20468,0.0865,21079,,,,,,,,1.14,,,1.32,0.96,53.3,,,57.3,49.4,1,1,2709,5254.2,1284.2,1346.2,"",,,,19.5,17.5,,,,,,,1.24,1.05,,,55.4,51.3,
"C10",Absolute Quantification,"ABS","14743",Ch1Unknown,"HbS","Manual",20.2,ddPCR Supermix for Probes (no dUTP),404,,,22.4,18,326,18822,7,319,272,18550,0.143,19148,,,,,,,,1.17,,,1.36,0.98,53.9,,,57.9,49.9,1,1,2346,5680.3,980.9,1060.9,"",,,,21.3,19.1,,,,,,,1.27,1.07,,,55.9,51.9,
"C11",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Multi",0,ddPCR Supermix for Probes (no dUTP),0,,,0.18,0,0,19681,0,0,0,19681,0,19681,,,,,,,,,,,,,,,,,,1,1,0,0,964.25,964.25,"",,,,0.082,0,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",14.1,ddPCR Supermix for Probes (no dUTP),282,,,15.9,12.4,253,20920,1,252,220,20700,0,21173,,,,,,,,1.15,,,1.35,0.94,53.4,,,57.9,48.9,1,1,2659,5838.5,1113.7,1170.2,"",,,,15,13.3,,,,,,,1.25,1.04,,,55.7,51.1,
"D03",Absolute Quantification,"ABS","20744",Ch1Unknown,"HbS","Manual",13.4,ddPCR Supermix for Probes (no dUTP),268,,,15.2,11.7,226,19719,4,222,221,19498,0.0875,19945,,,,,,,,1,,,1.19,0.82,50.1,,,54.7,45.5,1,1,2394,6259.8,981.01,1040.8,"",,,,14.3,12.5,,,,,,,1.1,0.91,,,52.5,47.8,
"D04",Absolute Quantification,"ABS","18001",Ch1Unknown,"HbS","Manual",14,ddPCR Supermix for Probes (no dUTP),280,,,15.7,12.2,233,19525,2,231,209,19316,0,19758,,,,,,,,1.1,,,1.31,0.9,52.5,,,57.1,47.8,1,1,2470,6015.6,1101.2,1159.2,"",,,,14.9,13,,,,,,,1.21,1,,,54.9,50.1,
"D05",Absolute Quantification,"ABS","16472",Ch1Unknown,"HbS","Manual",23.2,ddPCR Supermix for Probes (no dUTP),464,,,25.5,21,394,19744,15,379,427,19317,0.387,20138,,,,,,,,0.89,,,1.01,0.77,47.1,,,50.5,43.7,1,1,2570,5164.2,1184.7,1262.5,"",,,,24.4,22.1,,,,,,,0.95,0.83,,,48.8,45.4,
"D06",Absolute Quantification,"ABS","18836",Ch1Unknown,"HbS","Manual",10.9,ddPCR Supermix for Probes (no dUTP),218,,,12.5,9.4,194,20786,4,190,216,20570,0.112,20980,,,,,,,,0.88,,,1.05,0.71,46.8,,,51.7,42,1,1,2951,5586.2,1397.7,1436.5,"",,,,11.7,10.1,,,,,,,0.97,0.79,,,49.3,44.4,
"D07",Absolute Quantification,"ABS","18836",Ch1Unknown,"HbS","Manual",11.8,ddPCR Supermix for Probes (no dUTP),236,,,13.4,10.2,216,21430,4,212,262,21168,0.0748,21646,,,,,,,,0.81,,,0.96,0.67,44.8,,,49.2,40.3,1,1,2735,5561.4,1367.8,1409.6,"",,,,12.6,11,,,,,,,0.89,0.74,,,47,42.5,
"D08",Absolute Quantification,"ABS","20457",Ch1Unknown,"HbS","Manual",21.4,ddPCR Supermix for Probes (no dUTP),428,,,23.6,19.3,371,20183,4,367,301,19882,0,20554,,,,,,,,1.22,,,1.4,1.03,54.9,,,58.7,51.2,1,1,2512,5533.7,1143.3,1222.6,"",,,,22.5,20.3,,,,,,,1.31,1.12,,,56.8,53,
"D09",Absolute Quantification,"ABS","14743",Ch1Unknown,"HbS","Manual",20.2,ddPCR Supermix for Probes (no dUTP),404,,,22.3,18.2,379,21847,6,373,320,21527,0.0241,22226,,,,,,,,1.16,,,1.34,0.99,53.8,,,57.5,50.1,1,1,2412,5472.4,1140.3,1214.2,"",,,,21.3,19.2,,,,,,,1.25,1.08,,,55.7,51.9,
