Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS",,15.4,ddPCR Supermix for Probes (no dUTP),,16.2,14.7,16,14.9,3161,239186,41,3120,3153,236033,0,242347,,,,,,,,0.99,1.04,0.93,1.038,0.941,49.7,51,48.5,51,48.5,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02)",15.84,15.08,15.72,15.17,,,,,1.014,0.957,1.014,0.965,50.4,49.1,50.4,49.1,
"M02",Absolute Quantification,"ABS","20744",Ch1Unknown,"HbS",,13.4,ddPCR Supermix for Probes (no dUTP),,14,12.8,13.9,12.9,2732,238352,35,2697,2746,235606,0.0174,241084,,,,,,,,0.98,1.03,0.92,1.03,0.93,49.6,50.9,48.2,50.9,48.2,1,1,,,,,"","(A03,B03,C03,D03,E02,E03,F02,F03,G02,G03,H02,H03)",13.72,13.11,13.66,13.15,,,,,1.009,0.944,1.009,0.956,50.2,48.9,50.2,48.9,
"M03",Absolute Quantification,"ABS","18001",Ch1Unknown,"HbS",,12.1,ddPCR Supermix for Probes (no dUTP),,12.9,11.2,12.7,11.4,1267,122903,14,1253,1355,121548,0.000301,124170,,,,,,,,0.93,1.03,0.81,1,0.85,48.1,51,45.1,50,46.1,1,1,,,,,"","(A04,B04,C04,D04,E04,F04)",12.52,11.62,12.41,11.73,,,,,0.97,0.86,0.961,0.889,49.5,46.5,49,47.1,
"M04",Absolute Quantification,"ABS","16472",Ch1Unknown,"HbS",,22.2,ddPCR Supermix for Probes (no dUTP),,23.5,21,22.8,21.6,4749,249159,97,4652,4842,244317,0.0223,253908,,,,,,,,0.961,1.004,0.907,0.999,0.923,49,50.3,47.7,50,48,1,1,,,,,"","(A05,A06,B05,B06,C05,D05,E05,F05,G04,G05,H04,H05)",22.9,21.6,22.54,21.89,,,,,0.981,0.931,0.981,0.942,49.7,48.3,49.5,48.5,
"M05",Absolute Quantification,"ABS","18836",Ch1Unknown,"HbS",,12.49,ddPCR Supermix for Probes (no dUTP),,13.8,11.2,12.98,12,2505,234757,27,2478,2634,232123,0,237262,,,,,,,,0.94,0.99,0.87,0.99,0.89,48.5,50,47,49.8,47.1,1,1,,,,,"","(A07,B07,C06,C07,D06,D07,E06,E07,F06,F07,G06,H06)",13.2,11.8,12.74,12.24,,,,,0.967,0.901,0.967,0.915,49.2,47.7,49.2,47.8,
"M06",Absolute Quantification,"ABS","20457",Ch1Unknown,"HbS",,17.6,ddPCR Supermix for Probes (no dUTP),,18.5,16.7,18.2,17.1,3548,234959,54,3494,3267,231692,0.0233,238507,,,,,,,,1.07,1.12,1.01,1.12,1.02,51.7,52.9,50.4,52.8,50.5,1,1,,,,,"","(A08,A09,B08,B09,C08,D08,E08,F08,G07,G08,H07,H08)",18.05,17.17,17.93,17.34,,,,,1.095,1.032,1.095,1.043,52.3,51,52.3,51.1,
"M07",Absolute Quantification,"ABS","14743",Ch1Unknown,"HbS",,19.3,ddPCR Supermix for Probes (no dUTP),,19.9,18.7,19.9,18.7,4026,243838,56,3970,3264,240574,0.0101,247864,,,,,,,,1.21,1.27,1.14,1.27,1.16,54.8,56.2,53.5,56,53.7,1,1,,,,,"","(A10,B10,C09,C10,D09,D10,E09,E10,F09,F10,G09,H09)",19.6,18.96,19.57,18.96,,,,,1.243,1.172,1.243,1.186,55.6,54.2,55.4,54.3,
"M08",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS",,140.7,ddPCR Supermix for Probes (no dUTP),,152,130,144,137.5,7265,57170,842,6423,6318,50852,0.803,64435,,,,,,,,1.016,1.057,0.972,1.049,0.982,50.4,51.4,49.3,51.2,49.6,1,1,,,,,"","(A11,G10,H10)",146,136,142.4,139.1,,,,,1.036,0.993,1.032,0.999,50.9,49.8,50.8,49.97,
"M09",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,0.008,ddPCR Supermix for Probes (no dUTP),,0.04,-0.008,0.04,0,1,142216,1,0,2,142214,0.00827,142217,,,,,,,,0.3,,,1.2,0,25,,,75,0,1,1,,,,,"","(B11,C11,D11,E11,F11,G11,H11)",0.021,0,0.021,0.002,,,,,,,0.75,0,,,49,1,
"M01",Absolute Quantification,"ABS","13196",Ch2Unknown,"HbA",,15.6,ddPCR Supermix for Probes (no dUTP),,16.4,14.8,16.1,15.1,3194,239153,41,3120,3153,236033,0,242347,,,,,,,,0.99,1.04,0.93,1.038,0.941,49.7,51,48.5,51,48.5,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02)",16.04,15.22,15.88,15.33,,,,,1.014,0.957,1.014,0.965,50.4,49.1,50.4,49.1,
"M02",Absolute Quantification,"ABS","20744",Ch2Unknown,"HbA",,13.6,ddPCR Supermix for Probes (no dUTP),,14.3,13.1,14.2,13.1,2781,238303,35,2697,2746,235606,0.0174,241084,,,,,,,,0.98,1.03,0.92,1.03,0.93,49.6,50.9,48.2,50.9,48.2,1,1,,,,,"","(A03,B03,C03,D03,E02,E03,F02,F03,G02,G03,H02,H03)",13.97,13.38,13.91,13.39,,,,,1.009,0.944,1.009,0.956,50.2,48.9,50.2,48.9,
"M03",Absolute Quantification,"ABS","18001",Ch2Unknown,"HbA",,13,ddPCR Supermix for Probes (no dUTP),,13.8,12.3,13.7,12.4,1369,122801,14,1253,1355,121548,0.000301,124170,,,,,,,,0.93,1.03,0.81,1,0.85,48.1,51,45.1,50,46.1,1,1,,,,,"","(A04,B04,C04,D04,E04,F04)",13.46,12.66,13.4,12.69,,,,,0.97,0.86,0.961,0.889,49.5,46.5,49,47.1,
"M04",Absolute Quantification,"ABS","16472",Ch2Unknown,"HbA",,23.1,ddPCR Supermix for Probes (no dUTP),,24.3,21.9,23.8,22.5,4939,248969,97,4652,4842,244317,0.0223,253908,,,,,,,,0.961,1.004,0.907,0.999,0.923,49,50.3,47.7,50,48,1,1,,,,,"","(A05,A06,B05,B06,C05,D05,E05,F05,G04,G05,H04,H05)",23.8,22.5,23.44,22.78,,,,,0.981,0.931,0.981,0.942,49.7,48.3,49.5,48.5,
"M05",Absolute Quantification,"ABS","18836",Ch2Unknown,"HbA",,13.3,ddPCR Supermix for Probes (no dUTP),,14.4,12.1,13.8,12.8,2661,234601,27,2478,2634,232123,0,237262,,,,,,,,0.94,0.99,0.87,0.99,0.89,48.5,50,47,49.8,47.1,1,1,,,,,"","(A07,B07,C06,C07,D06,D07,E06,E07,F06,F07,G06,H06)",13.9,12.6,13.53,13.01,,,,,0.967,0.901,0.967,0.915,49.2,47.7,49.2,47.8,
"M06",Absolute Quantification,"ABS","20457",Ch2Unknown,"HbA",,16.5,ddPCR Supermix for Probes (no dUTP),,17.2,15.8,17.1,15.9,3321,235186,54,3494,3267,231692,0.0233,238507,,,,,,,,1.07,1.12,1.01,1.12,1.02,51.7,52.9,50.4,52.8,50.5,1,1,,,,,"","(A08,A09,B08,B09,C08,D08,E08,F08,G07,G08,H07,H08)",16.82,16.11,16.78,16.21,,,,,1.095,1.032,1.095,1.043,52.3,51,52.3,51.1,
"M07",Absolute Quantification,"ABS","14743",Ch2Unknown,"HbA",,15.9,ddPCR Supermix for Probes (no dUTP),,16.6,15.1,16.4,15.3,3320,244544,56,3970,3264,240574,0.0101,247864,,,,,,,,1.21,1.27,1.14,1.27,1.16,54.8,56.2,53.5,56,53.7,1,1,,,,,"","(A10,B10,C09,C10,D09,D10,E09,E10,F09,F10,G09,H09)",16.26,15.5,16.14,15.59,,,,,1.243,1.172,1.243,1.186,55.6,54.2,55.4,54.3,
"M08",Absolute Quantification,"ABS","19RG-220G0190",Ch2Unknown,"HbA",,138.6,ddPCR Supermix for Probes (no dUTP),,147,131,141.8,135.4,7160,57275,842,6423,6318,50852,0.803,64435,,,,,,,,1.016,1.057,0.972,1.049,0.982,50.4,51.4,49.3,51.2,49.6,1,1,,,,,"","(A11,G10,H10)",142.8,134.9,140.2,136.9,,,,,1.036,0.993,1.032,0.999,50.9,49.8,50.8,49.97,
"M09",Absolute Quantification,"ABS","NTC",Ch2Unknown,"HbA",,0.025,ddPCR Supermix for Probes (no dUTP),,0.066,-0.009,0.066,0.006,3,142214,1,0,2,142214,0.00827,142217,,,,,,,,0.3,,,1.2,0,25,,,75,0,1,1,,,,,"","(B11,C11,D11,E11,F11,G11,H11)",0.044,0.008,0.042,0.013,,,,,,,0.75,0,,,49,1,
"A01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",16.2,ddPCR Supermix for Probes (no dUTP),324,,,18.1,14.3,274,19741,4,270,258,19483,0.025,20015,,,,,,,,1.05,,,1.22,0.87,51.1,,,55.4,46.9,1,1,2381,6117.7,1038.6,1108.2,"",,,,17.2,15.2,,,,,,,1.14,0.96,,,53.3,49,
"B01",Absolute Quantification,"ABS","13196",Ch1Unknown,"HbS","Manual",14.8,ddPCR Supermix for Probes (no dUTP),296,,,16.6,13,268,21160,4,264,286,20874,0.021,21428,,,,,,,,0.92,,,1.08,0.77,48,,,52.2,43.9,1,1,2381,6084.8,1048.2,1111.2,"",,,,15.7,13.9,,,,,,,1,0.85,,,50.1,45.9,
