Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS",,14.3,ddPCR Supermix for Probes (no dUTP),,14.9,13.7,14.8,13.8,3031,247517,38,2993,2996,244521,0.00624,250548,,,,,,,,1,1.05,0.95,1.05,0.95,50,51.2,48.7,51.2,48.7,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02)",14.65,14.03,14.58,14.06,,,,,1.025,0.97,1.025,0.973,50.6,49.3,50.6,49.3,
"M02",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS",,24.3,ddPCR Supermix for Probes (no dUTP),,25.2,23.5,25,23.7,5332,255247,125,5207,5507,249740,0.046,260579,,,,,,,,0.946,0.982,0.901,0.982,0.911,48.6,49.7,47.6,49.6,47.7,1,1,,,,,"","(A03,B03,C03,D03,E02,E03,F02,F03,G02,G03,H02,H03)",24.76,23.88,24.66,23.99,,,,,0.964,0.92,0.964,0.928,49.2,48.1,49.09,48.14,
"M03",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS",,7.39,ddPCR Supermix for Probes (no dUTP),,7.73,7.05,7.73,7.05,1809,286996,9,1800,2116,284880,0,288805,,,,,,,,0.85,0.9,0.78,0.9,0.8,46,47.5,44.4,47.5,44.4,1,1,,,,,"","(A04,A05,B04,B05,C04,C05,D04,D05,E04,E05,F04,G04,H04)",7.57,7.22,7.57,7.22,,,,,0.878,0.81,0.878,0.824,46.8,45.2,46.8,45.2,
"M04",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS",,5.77,ddPCR Supermix for Probes (no dUTP),,6.16,5.37,6.07,5.47,1417,288210,6,1411,1487,286723,0,289627,,,,,,,,0.95,1.02,0.85,1.02,0.88,48.7,51,46.4,50.5,46.9,1,1,,,,,"","(A06,A07,B06,B07,C06,C07,D06,E06,F06,G05,G06,H05,H06)",5.97,5.56,5.92,5.62,,,,,0.984,0.885,0.984,0.914,49.9,47.5,49.6,47.8,
"M05",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS",,18.5,ddPCR Supermix for Probes (no dUTP),,19.2,17.9,19.1,18,4163,262159,68,4095,3678,258481,0.043,266322,,,,,,,,1.112,1.16,1.06,1.161,1.063,52.7,53.8,51.6,53.8,51.6,1,1,,,,,"","(A08,B08,C08,D08,E07,E08,F07,F08,G07,G08,H07,H08)",18.86,18.19,18.82,18.25,,,,,1.137,1.08,1.137,1.087,53.2,52.1,53.2,52.1,
"M06",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS",,21.9,ddPCR Supermix for Probes (no dUTP),,22.7,21.1,22.5,21.3,4768,253874,95,4673,5009,248865,0.0043,258642,,,,,,,,0.934,0.979,0.881,0.97,0.897,48.3,49.6,47,49.3,47.3,1,1,,,,,"","(A09,A10,B09,B10,C09,C10,D09,D10,E09,F09,G09,H09)",22.32,21.48,22.21,21.57,,,,,0.955,0.905,0.952,0.915,49,47.7,48.8,47.8,
"M07",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS",,0,ddPCR Supermix for Probes (no dUTP),,0.034,0,0.034,0,0,104076,0,0,1,104075,0,104076,,,,,,,,0,,,0,0,0,,,150,0,1,1,,,,,"","(D07,F05,H10,A11,B11)",0.015,0,0.015,0,,,,,,,0,0,,,68,0,
"M08",Absolute Quantification,"ABS","19RG-220G0190",Ch1Unknown,"HbS",,139.5,ddPCR Supermix for Probes (no dUTP),,145,134,142.7,136.3,7392,58716,881,6511,6583,52133,1.05,66108,,,,,,,,0.99,1.027,0.951,1.022,0.958,49.7,50.7,48.8,50.5,48.9,1,1,,,,,"","(E10,F10,G10)",142.1,136.7,141.1,137.9,,,,,1.008,0.969,1.006,0.974,50.22,49.24,50.15,49.33,
"M01",Absolute Quantification,"ABS","16750",Ch2Unknown,"HbA",,14.3,ddPCR Supermix for Probes (no dUTP),,14.8,13.8,14.8,13.8,3034,247514,38,2993,2996,244521,0.00624,250548,,,,,,,,1,1.05,0.95,1.05,0.95,50,51.2,48.7,51.2,48.7,1,1,,,,,"","(A01,B01,C01,D01,E01,F01,G01,H01,A02,B02,C02,D02)",14.61,14.07,14.59,14.07,,,,,1.025,0.97,1.025,0.973,50.6,49.3,50.6,49.3,
"M02",Absolute Quantification,"ABS","17006",Ch2Unknown,"HbA",,25.7,ddPCR Supermix for Probes (no dUTP),,26.5,24.9,26.4,25,5632,254947,125,5207,5507,249740,0.046,260579,,,,,,,,0.946,0.982,0.901,0.982,0.911,48.6,49.7,47.6,49.6,47.7,1,1,,,,,"","(A03,B03,C03,D03,E02,E03,F02,F03,G02,G03,H02,H03)",26.11,25.29,26.05,25.36,,,,,0.964,0.92,0.964,0.928,49.2,48.1,49.09,48.14,
