Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"M03",Absolute Quantification,"ABS","17127",Ch2Unknown,"HbA",,8.69,ddPCR Supermix for Probes (no dUTP),,9.13,8.25,9.06,8.32,2125,286680,9,1800,2116,284880,0,288805,,,,,,,,0.85,0.9,0.78,0.9,0.8,46,47.5,44.4,47.5,44.4,1,1,,,,,"","(A04,A05,B04,B05,C04,C05,D04,D05,E04,E05,F04,G04,H04)",8.91,8.46,8.88,8.5,,,,,0.878,0.81,0.878,0.824,46.8,45.2,46.8,45.2,
"M04",Absolute Quantification,"ABS","17472",Ch2Unknown,"HbA",,6.08,ddPCR Supermix for Probes (no dUTP),,6.52,5.62,6.39,5.77,1493,288134,6,1411,1487,286723,0,289627,,,,,,,,0.95,1.02,0.85,1.02,0.88,48.7,51,46.4,50.5,46.9,1,1,,,,,"","(A06,A07,B06,B07,C06,C07,D06,E06,F06,G05,G06,H05,H06)",6.3,5.84,6.24,5.92,,,,,0.984,0.885,0.984,0.914,49.9,47.5,49.6,47.8,
"M05",Absolute Quantification,"ABS","19153",Ch2Unknown,"HbA",,16.7,ddPCR Supermix for Probes (no dUTP),,17.2,16.1,17.2,16.1,3746,262576,68,4095,3678,258481,0.043,266322,,,,,,,,1.112,1.16,1.06,1.161,1.063,52.7,53.8,51.6,53.8,51.6,1,1,,,,,"","(A08,B08,C08,D08,E07,E08,F07,F08,G07,G08,H07,H08)",16.94,16.39,16.94,16.39,,,,,1.137,1.08,1.137,1.087,53.2,52.1,53.2,52.1,
"M06",Absolute Quantification,"ABS","20810",Ch2Unknown,"HbA",,23.4,ddPCR Supermix for Probes (no dUTP),,24.5,22.3,24.1,22.8,5104,253538,95,4673,5009,248865,0.0043,258642,,,,,,,,0.934,0.979,0.881,0.97,0.897,48.3,49.6,47,49.3,47.3,1,1,,,,,"","(A09,A10,B09,B10,C09,C10,D09,D10,E09,F09,G09,H09)",24,22.8,23.78,23.12,,,,,0.955,0.905,0.952,0.915,49,47.7,48.8,47.8,
"M07",Absolute Quantification,"ABS","NTC",Ch2Unknown,"HbA",,0.011,ddPCR Supermix for Probes (no dUTP),,0.054,-0.012,0.054,0,1,104075,0,0,1,104075,0,104076,,,,,,,,0,,,0,0,0,,,150,0,1,1,,,,,"","(D07,F05,H10,A11,B11)",0.028,0,0.028,0.003,,,,,,,0,0,,,68,0,
"M08",Absolute Quantification,"ABS","19RG-220G0190",Ch2Unknown,"HbA",,140.9,ddPCR Supermix for Probes (no dUTP),,144.2,137.8,144.2,137.8,7464,58644,881,6511,6583,52133,1.05,66108,,,,,,,,0.99,1.027,0.951,1.022,0.958,49.7,50.7,48.8,50.5,48.9,1,1,,,,,"","(E10,F10,G10)",142.6,139.3,142.6,139.3,,,,,1.008,0.969,1.006,0.974,50.22,49.24,50.15,49.33,
"A01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",14.4,ddPCR Supermix for Probes (no dUTP),288,,,16.2,12.7,259,20971,3,256,252,20719,0,21230,,,,,,,,1.02,,,1.19,0.84,50.4,,,54.7,46.1,1,1,2371,6377.9,989.51,1055.3,"",,,,15.3,13.5,,,,,,,1.11,0.93,,,52.6,48.2,
"B01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",14.7,ddPCR Supermix for Probes (no dUTP),294,,,16.4,13,281,22383,4,277,250,22133,0.0452,22664,,,,,,,,1.11,,,1.29,0.92,52.5,,,56.8,48.3,1,1,2371,6440,990.08,1057.7,"",,,,15.6,13.8,,,,,,,1.2,1.01,,,54.7,50.4,
"C01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",14.2,ddPCR Supermix for Probes (no dUTP),284,,,15.9,12.4,253,20905,4,249,258,20647,0.0494,21158,,,,,,,,0.97,,,1.13,0.8,49.1,,,53.4,44.8,1,1,2371,6514.7,978.68,1044.9,"",,,,15,13.3,,,,,,,1.05,0.88,,,51.3,46.9,
"D01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",14.3,ddPCR Supermix for Probes (no dUTP),286,,,16,12.6,266,21790,1,265,266,21524,0,22056,,,,,,,,1,,,1.17,0.83,49.9,,,54.2,45.7,1,1,2371,6656.7,985.45,1053.8,"",,,,15.2,13.4,,,,,,,1.08,0.91,,,52.1,47.7,
"E01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",14.8,ddPCR Supermix for Probes (no dUTP),296,,,16.8,12.9,221,17421,3,218,213,17208,0.0201,17642,,,,,,,,1.02,,,1.22,0.83,50.6,,,55.3,45.9,1,1,2371,6674.3,986.7,1057.9,"",,,,15.8,13.8,,,,,,,1.12,0.93,,,53,48.2,
"F01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",13,ddPCR Supermix for Probes (no dUTP),260,,,14.7,11.4,245,21971,1,244,251,21720,0,22216,,,,,,,,0.97,,,1.14,0.8,49.3,,,53.7,44.9,1,1,2371,6455.1,984.47,1044.8,"",,,,13.9,12.2,,,,,,,1.06,0.88,,,51.5,47,
"G01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",14.6,ddPCR Supermix for Probes (no dUTP),292,,,16.5,12.7,236,18883,4,232,240,18643,0.0624,19119,,,,,,,,0.97,,,1.14,0.79,49.2,,,53.6,44.7,1,1,2371,6494.1,977.75,1045.8,"",,,,15.6,13.7,,,,,,,1.06,0.88,,,51.4,46.9,
"H01",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",15.1,ddPCR Supermix for Probes (no dUTP),302,,,16.8,13.3,275,21341,3,272,263,21078,0,21616,,,,,,,,1.03,,,1.21,0.86,50.8,,,55,46.6,1,1,2371,6458.6,970.95,1040.8,"",,,,16,14.2,,,,,,,1.12,0.95,,,53,48.7,
"A02",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",13.4,ddPCR Supermix for Probes (no dUTP),268,,,15.1,11.7,235,20575,3,232,230,20345,0.0213,20810,,,,,,,,1.01,,,1.19,0.83,50.2,,,54.7,45.7,1,1,2371,6387.2,977.15,1038.2,"",,,,14.2,12.5,,,,,,,1.1,0.92,,,52.5,47.9,
"A03",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",25,ddPCR Supermix for Probes (no dUTP),500,,,27.3,22.7,465,21658,8,457,499,21159,0,22123,,,,,,,,0.92,,,1.03,0.8,47.8,,,51,44.7,1,1,2371,6222.4,996.83,1106.7,"",,,,26.2,23.8,,,,,,,0.98,0.86,,,49.4,46.2,
"A04",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",6.9,ddPCR Supermix for Probes (no dUTP),138,,,8.1,5.7,122,20825,0,122,167,20658,0,20947,,,,,,,,0.73,,,0.9,0.56,42,,,48,36,1,1,2371,6059.7,984.19,1013.7,"",,,,7.5,6.3,,,,,,,0.82,0.64,,,45.1,39.3,
"A05",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7.5,ddPCR Supermix for Probes (no dUTP),150,,,8.7,6.2,139,21828,1,138,176,21652,0,21967,,,,,,,,0.78,,,0.96,0.61,44,,,49,38,1,1,2371,5957.3,1020.9,1052.1,"",,,,8.1,6.8,,,,,,,0.87,0.7,,,46.8,41.2,
"A06",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",5.2,ddPCR Supermix for Probes (no dUTP),104,,,6.3,4.2,92,20811,0,92,112,20699,0,20903,,,,,,,,0.82,,,1.05,0.59,45,,,52,38,1,1,2371,6165.1,994.45,1017.2,"",,,,5.7,4.7,,,,,,,0.94,0.71,,,48.6,41.6,
"A07",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",5.6,ddPCR Supermix for Probes (no dUTP),112,,,6.7,4.5,101,21109,0,101,109,21000,0,21210,,,,,,,,0.93,,,1.18,0.68,48,,,55,41,1,1,2371,6091,984.21,1008.5,"",,,,6.2,5.1,,,,,,,1.05,0.8,,,51.5,44.6,
"A08",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",18.7,ddPCR Supermix for Probes (no dUTP),374,,,20.6,16.7,351,21957,6,345,330,21627,0.0388,22308,,,,,,,,1.04,,,1.2,0.89,51.1,,,54.8,47.4,1,1,2371,6412.2,998.73,1083.9,"",,,,19.7,17.7,,,,,,,1.12,0.97,,,53,49.2,
"A09",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",21.8,ddPCR Supermix for Probes (no dUTP),436,,,24,19.7,407,21732,7,400,416,21316,0,22139,,,,,,,,0.96,,,1.09,0.83,49,,,52.4,45.6,1,1,2214,6039.5,1004.9,1097.5,"",,,,22.9,20.7,,,,,,,1.03,0.9,,,50.8,47.3,
"A10",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",22.8,ddPCR Supermix for Probes (no dUTP),456,,,25,20.7,435,22223,10,425,458,21765,0.0549,22658,,,,,,,,0.93,,,1.05,0.81,48.2,,,51.4,44.9,1,1,2214,5991.4,1001,1096.8,"",,,,23.9,21.7,,,,,,,0.99,0.87,,,49.8,46.5,
"B02",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",14.4,ddPCR Supermix for Probes (no dUTP),288,,,16.1,12.6,264,21485,4,260,281,21204,0.03,21749,,,,,,,,0.93,,,1.08,0.77,48.1,,,52.3,43.9,1,1,2371,6428,983.36,1049.4,"",,,,15.3,13.5,,,,,,,1,0.85,,,50.2,45.9,
"B03",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",25.3,ddPCR Supermix for Probes (no dUTP),506,,,27.6,23,466,21414,16,450,456,20958,0.334,21880,,,,,,,,0.99,,,1.11,0.86,49.7,,,52.9,46.5,1,1,2371,6211.1,1025.5,1135.9,"",,,,26.5,24.2,,,,,,,1.05,0.92,,,51.3,48,
"B04",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7.7,ddPCR Supermix for Probes (no dUTP),154,,,9,6.5,149,22589,0,149,156,22433,0,22738,,,,,,,,0.95,,,1.17,0.74,49,,,54,43,1,1,2371,6130.2,973.74,1007.5,"",,,,8.4,7.1,,,,,,,1.06,0.85,,,51.7,46,
"B05",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",6.7,ddPCR Supermix for Probes (no dUTP),134,,,7.8,5.5,129,22610,1,128,174,22436,0.000378,22739,,,,,,,,0.74,,,0.9,0.57,42,,,48,37,1,1,2371,6042.1,958.95,987.79,"",,,,7.3,6.1,,,,,,,0.82,0.65,,,45.2,39.6,
"B06",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",6.1,ddPCR Supermix for Probes (no dUTP),122,,,7.2,4.9,110,21317,0,110,97,21220,0,21427,,,,,,,,1.13,,,1.44,0.82,53,,,60,46,1,1,2371,6127.5,948.47,975.06,"",,,,6.6,5.5,,,,,,,1.29,0.98,,,56.6,49.7,
"B07",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",6.6,ddPCR Supermix for Probes (no dUTP),132,,,7.8,5.5,131,23194,0,131,129,23065,0,23325,,,,,,,,1.02,,,1.26,0.77,50,,,56,44,1,1,2371,6121.4,978.73,1007.6,"",,,,7.2,6,,,,,,,1.14,0.89,,,53.5,47.3,
"B08",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",19.5,ddPCR Supermix for Probes (no dUTP),390,,,21.4,17.5,379,22731,8,371,313,22418,0.144,23110,,,,,,,,1.18,,,1.36,1.01,54.2,,,57.9,50.5,1,1,2371,6116.8,970.49,1054.9,"",,,,20.5,18.5,,,,,,,1.27,1.09,,,56.1,52.3,
"B09",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",24.2,ddPCR Supermix for Probes (no dUTP),484,,,26.5,22,430,20649,6,424,458,20191,0,21079,,,,,,,,0.93,,,1.05,0.8,48.1,,,51.4,44.8,1,1,2214,5959.3,953.89,1056,"",,,,25.4,23.1,,,,,,,0.99,0.86,,,49.7,46.4,
"B10",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",22,ddPCR Supermix for Probes (no dUTP),440,,,24.1,19.9,423,22444,4,419,456,21988,0,22867,,,,,,,,0.92,,,1.04,0.8,47.9,,,51.2,44.6,1,1,2214,5993.3,994.63,1087.1,"",,,,23,20.9,,,,,,,0.98,0.86,,,49.6,46.2,
"C02",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",12.6,ddPCR Supermix for Probes (no dUTP),252,,,14.2,10.9,220,20509,3,217,235,20274,0.0275,20729,,,,,,,,0.92,,,1.09,0.75,48,,,52.6,43.4,1,1,2371,6098.8,920.45,975.41,"",,,,13.4,11.7,,,,,,,1.01,0.84,,,50.4,45.7,
"C03",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",21.6,ddPCR Supermix for Probes (no dUTP),432,,,23.7,19.4,395,21350,11,384,476,20874,0.121,21745,,,,,,,,0.81,,,0.92,0.7,44.7,,,48,41.5,1,1,2371,6144.2,1005.8,1099.2,"",,,,22.7,20.5,,,,,,,0.86,0.75,,,46.4,43.1,
"C04",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7,ddPCR Supermix for Probes (no dUTP),140,,,8.3,5.8,129,21476,1,128,130,21346,0.012,21605,,,,,,,,0.98,,,1.22,0.75,50,,,56,44,1,1,2371,6324.8,995.24,1027.1,"",,,,7.7,6.4,,,,,,,1.11,0.86,,,52.7,46.5,
"C05",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7.3,ddPCR Supermix for Probes (no dUTP),146,,,8.5,6.1,142,22821,1,141,161,22660,0,22963,,,,,,,,0.88,,,1.07,0.68,47,,,52,41,1,1,2371,5848.8,966.04,996.24,"",,,,7.9,6.7,,,,,,,0.98,0.78,,,49.6,43.8,
"C06",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",7.1,ddPCR Supermix for Probes (no dUTP),142,,,8.3,5.9,136,22549,0,136,104,22445,0,22685,,,,,,,,1.31,,,1.64,0.97,57,,,63,50,1,1,2371,6074,958.81,989.48,"",,,,7.7,6.5,,,,,,,1.48,1.14,,,59.9,53.5,
"C07",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",4.4,ddPCR Supermix for Probes (no dUTP),88,,,5.5,3.6,84,22209,1,83,91,22118,0.0348,22293,,,,,,,,0.91,,,1.18,0.64,48,,,55,40,1,1,2371,6094.9,1024.7,1043.8,"",,,,4.94,3.98,,,,,,,1.05,0.78,,,51.5,44,
"C08",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",18.9,ddPCR Supermix for Probes (no dUTP),378,,,20.8,17,368,22737,7,361,285,22452,0.123,23105,,,,,,,,1.26,,,1.46,1.07,55.8,,,59.6,52,1,1,2371,6269.7,980.36,1064.6,"",,,,19.9,17.9,,,,,,,1.36,1.16,,,57.7,53.9,
"C09",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",22.3,ddPCR Supermix for Probes (no dUTP),446,,,24.4,20.2,435,22749,8,427,433,22316,0,23184,,,,,,,,0.99,,,1.12,0.86,49.7,,,53,46.3,1,1,2214,6070.2,978.52,1074.1,"",,,,23.4,21.2,,,,,,,1.05,0.92,,,51.3,48,
"C10",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",23.4,ddPCR Supermix for Probes (no dUTP),468,,,25.7,21.1,390,19407,15,375,401,19006,0.421,19797,,,,,,,,0.94,,,1.07,0.81,48.4,,,51.8,44.9,1,1,2214,6026.9,984.23,1083.6,"",,,,24.6,22.2,,,,,,,1,0.87,,,50.1,46.6,
"D02",Absolute Quantification,"ABS","16750",Ch1Unknown,"HbS","Manual",16.7,ddPCR Supermix for Probes (no dUTP),334,,,18.7,14.7,276,19283,5,271,257,19026,0.0806,19559,,,,,,,,1.05,,,1.23,0.88,51.3,,,55.5,47.1,1,1,2371,6627.6,965.11,1045,"",,,,17.7,15.7,,,,,,,1.14,0.96,,,53.5,49.2,
"D03",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",24.8,ddPCR Supermix for Probes (no dUTP),496,,,27.1,22.6,466,21865,10,456,466,21399,0.00368,22331,,,,,,,,0.98,,,1.1,0.85,49.5,,,52.7,46.3,1,1,2371,6339,985.25,1097,"",,,,26,23.7,,,,,,,1.04,0.91,,,51.1,47.8,
"D04",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7.1,ddPCR Supermix for Probes (no dUTP),142,,,8.3,5.8,127,21039,0,127,138,20901,0,21166,,,,,,,,0.92,,,1.14,0.7,48,,,54,42,1,1,2371,6270.5,982.01,1013.7,"",,,,7.7,6.5,,,,,,,1.03,0.81,,,51,44.8,
"D05",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7.5,ddPCR Supermix for Probes (no dUTP),150,,,8.7,6.2,139,21800,2,137,171,21629,0.0492,21939,,,,,,,,0.8,,,0.98,0.62,45,,,50,39,1,1,2371,5926.1,968.66,1000.1,"",,,,8.1,6.8,,,,,,,0.89,0.71,,,47.3,41.7,
"D06",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",6.1,ddPCR Supermix for Probes (no dUTP),122,,,7.2,5,114,21883,2,112,89,21794,0.0825,21997,,,,,,,,1.25,,,1.6,0.91,56,,,62,49,1,1,2371,6093.3,983.12,1009.6,"",,,,6.7,5.5,,,,,,,1.43,1.08,,,59.1,52.2,
"D07",Absolute Quantification,"ABS","NTC",Ch1Unknown,"HbS","Manual",0,ddPCR Supermix for Probes (no dUTP),0,,,0.15,0,0,22851,0,0,0,22851,0,22851,,,,,,,,,,,,,,,,,,1,1,2371,0,977.66,977.66,"",,,,0.07,0,,,,,,,,,,,,,
"D08",Absolute Quantification,"ABS","19153",Ch1Unknown,"HbS","Manual",19.1,ddPCR Supermix for Probes (no dUTP),382,,,21.1,17.1,362,22129,5,357,309,21820,0,22491,,,,,,,,1.15,,,1.33,0.98,53.6,,,57.3,49.8,1,1,2371,6253.6,968.97,1054,"",,,,20.1,18.1,,,,,,,1.24,1.07,,,55.5,51.7,
"D09",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",20.6,ddPCR Supermix for Probes (no dUTP),412,,,22.7,18.6,383,21658,11,372,412,21246,0.202,22041,,,,,,,,0.9,,,1.03,0.78,47.5,,,50.9,44,1,1,2214,6142.4,987.07,1076.7,"",,,,21.7,19.6,,,,,,,0.97,0.84,,,49.3,45.7,
"D10",Absolute Quantification,"ABS","20810",Ch1Unknown,"HbS","Manual",21.8,ddPCR Supermix for Probes (no dUTP),436,,,24.1,19.6,364,19439,4,360,360,19079,0,19803,,,,,,,,1,,,1.15,0.85,50,,,53.6,46.4,1,1,2214,6168.4,1013.7,1108.4,"",,,,23,20.7,,,,,,,1.07,0.93,,,51.9,48.1,
"E02",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",23.4,ddPCR Supermix for Probes (no dUTP),468,,,25.6,21.1,417,20776,12,405,461,20315,0.156,21193,,,,,,,,0.88,,,1,0.76,46.8,,,50.1,43.5,1,1,2371,6304.9,999.44,1103.8,"",,,,24.5,22.2,,,,,,,0.94,0.82,,,48.5,45.1,
"E03",Absolute Quantification,"ABS","17006",Ch1Unknown,"HbS","Manual",24.8,ddPCR Supermix for Probes (no dUTP),496,,,27.1,22.5,440,20670,7,433,411,20259,0,21110,,,,,,,,1.05,,,1.19,0.91,51.3,,,54.6,48,1,1,2371,6212,940.91,1050.8,"",,,,26,23.6,,,,,,,1.13,0.98,,,53,49.6,
"E04",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",8,ddPCR Supermix for Probes (no dUTP),160,,,9.2,6.7,149,21931,1,148,168,21763,0,22080,,,,,,,,0.88,,,1.08,0.69,47,,,52,41,1,1,2371,6178.7,975.67,1010.8,"",,,,8.6,7.3,,,,,,,0.98,0.78,,,49.6,44,
"E05",Absolute Quantification,"ABS","17127",Ch1Unknown,"HbS","Manual",7.5,ddPCR Supermix for Probes (no dUTP),150,,,8.7,6.2,142,22271,0,142,186,22085,0,22413,,,,,,,,0.76,,,0.93,0.6,43,,,49,38,1,1,2371,6004.2,978.91,1010.8,"",,,,8.1,6.9,,,,,,,0.85,0.68,,,46,40.5,
"E06",Absolute Quantification,"ABS","17472",Ch1Unknown,"HbS","Manual",5.3,ddPCR Supermix for Probes (no dUTP),106,,,6.3,4.2,102,22723,1,101,132,22591,0.0211,22825,,,,,,,,0.77,,,0.96,0.57,43,,,50,37,1,1,2371,6149.4,942.1,965.37,"",,,,5.8,4.7,,,,,,,0.87,0.67,,,46.6,40.2,
